bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.5,1341,7912,1.5,1,1,3,1341,1,1955,2115,313111
5,2.5,3651,9151,2,1,4,5,3371,281,1921,1,2384111
3,2,1931,11947,1,1,1,4,1931,1,1966,1,342111
3,2.25,2111,8131,1,1,1,4,1111,1111,1963,1,421111
4,2.5,1941,11511,1,1,1,4,1141,811,1976,1992,551111
2,1,881,6381,1,1,1,3,881,1,1938,1994,491111
2,2,1351,2561,1,1,1,3,1351,1,1976,1,335111
4,2.5,2711,35868,2,1,1,3,2711,1,1989,1,482111
3,2.5,2431,88426,1,1,1,4,1571,861,1985,1,452511
4,2,1521,6211,1.5,1,1,3,1521,1,1945,2111,641111
3,1.75,1711,7321,1,1,1,3,1711,1,1948,1994,463111
4,2.5,2921,4111,1.5,1,1,5,1911,1111,1919,1988,1411111
3,1.75,2331,14892,1,1,1,3,1971,361,1981,1,588511
3,1,1191,6435,1,1,1,4,1191,1,1955,2119,365111
5,2.75,2911,9481,1.5,1,1,3,2911,1,1939,1969,1211111
3,1.5,1211,9721,1,1,1,4,1211,1,1965,1,242511
3,1.5,1571,6711,1,1,1,4,1571,1,1956,1,419111
4,3,3111,7231,2,1,1,3,3111,1,1997,1,367511
3,1.75,1371,5858,1,1,1,3,1371,1,1987,2111,257951
3,1.5,1181,11277,1,1,1,3,1181,1,1983,2119,275111
3,1.75,2241,11578,2,1,1,5,1551,691,1923,1,751111
4,1,1451,8811,1,1,1,4,1451,1,1954,1979,435111
3,2.25,1751,1572,2.5,1,1,3,1471,281,2115,1,626111
4,2.5,2731,12261,2,1,1,3,2731,1,1991,1,612511
4,1.75,1611,6381,1,1,1,3,1131,471,1959,1989,495111
3,2.5,2191,11834,1,1,1,4,1361,731,1987,1,285111
3,1.75,2361,7291,1,1,1,4,1361,1111,1948,1,615111
4,2.25,2211,11251,1.5,1,1,5,1311,911,1921,1,698111
5,2.5,2821,67518,2,1,1,3,2821,1,1979,2114,675111
3,2.5,2611,4751,1,1,1,4,1711,911,1951,1999,791111
4,1.75,1561,8711,1,1,1,4,1561,1,1967,1,382511
4,2.5,2861,3345,2,1,1,3,2191,671,2114,2113,499951
4,2,1821,5111,1.5,1,1,3,1641,181,1945,2111,651111
4,2.5,2821,8418,2,1,1,3,2821,1,2114,1,625111
4,2.5,3631,42884,1.5,1,1,3,2311,1331,1979,2114,411111
3,2.5,3241,33151,2,1,2,3,3241,1,1995,1,614111
2,1,811,4851,1,1,1,4,811,1,1944,1,441111
3,3,1851,19966,1,1,1,4,1191,761,1992,1,287211
3,2,1961,13111,1,1,2,5,1651,311,1957,1,413111
3,2.5,2391,6551,1,1,2,4,1441,951,1955,2119,751111
3,2.25,1581,16215,1,1,1,4,1581,1,1978,2111,335111
4,2,1481,8625,1,1,1,4,1481,1,1974,1,261111
2,1,851,6174,1,1,1,4,851,1,1951,1983,318511
3,2.5,1771,2875,2,1,1,3,1771,1,1991,2119,439951
2,1,1211,9411,1,1,1,2,1211,1,1949,1,235111
3,1,1161,9181,1,1,1,3,1161,1,1968,1997,315111
3,2.25,1971,35111,2,1,1,4,1971,1,1977,1,437511
3,2.5,1931,11461,2,1,1,3,1931,1,1996,1,417511
3,2.5,1271,1181,3,1,1,3,1271,1,2111,1,445711
4,2.5,3311,42998,2,1,1,3,3311,1,2111,1,838111
4,2.75,2711,37277,2,1,1,3,2711,1,2111,1,631111
3,1.75,2911,35211,1.5,1,1,3,2911,1,1979,2114,551111
3,2,2711,4511,1.5,1,1,4,1881,831,1929,1,815111
3,1.75,1811,23113,1,1,1,3,1811,1,1968,1997,284111
5,2.5,2211,9655,1,1,1,3,1461,751,1976,1,471111
4,1.5,1921,11111,1,1,1,4,1171,851,1954,1979,431111
4,1.75,2191,125452,1,1,2,3,2191,1,1968,1997,491511
5,3.25,3661,11995,2,1,2,3,3661,1,2116,1,785111
3,3.25,1321,1327,2,1,1,3,1141,281,2118,1,385111
2,2.5,1631,1368,2,1,1,3,1281,351,2119,1,295111
4,2.5,3311,6511,2,1,1,3,3311,1,2112,1912,555111
3,2.5,2681,5539,2,1,1,3,2681,1,2113,1923,459991
4,3.25,2731,54114,1,1,1,3,1561,1171,2117,1,625111
3,2.5,2541,5151,2,1,1,3,2541,1,2116,1,311111
4,2.75,2921,6615,2,1,1,3,2921,1,2112,1912,625111
2,1,911,5111,1,1,1,3,911,1,1944,1,553111
3,2.5,1651,14154,1,1,1,4,1131,521,1986,1,379881
3,1,1111,9945,1,1,1,4,1111,1,1973,1,311111
2,2.5,2681,7392,1,1,1,3,2681,1,2114,2113,775111
3,2.5,2211,7351,1,1,1,5,1571,631,1988,1,365111
4,2.5,2531,9933,2,1,2,3,2111,521,1991,2119,331951
3,2.5,2851,7131,2,1,1,3,1991,861,1981,1,783511
4,2,2281,6111,1,1,1,3,1141,1141,1911,2115,628111
3,2.5,1911,8744,2,1,1,3,1911,1,1987,2111,561111
3,1,1331,77972,1,1,1,3,1331,1,1928,1954,911111
2,3,1271,1175,2,1,1,3,1111,161,2111,1,531111
4,3,2171,4111,2,1,1,4,1611,561,1982,2111,831111
4,2.5,2731,11281,2,1,2,3,2731,1,1996,1,781111
4,2.5,2121,11212,1,1,1,4,1621,511,1961,2111,755111
3,2.5,2491,4343,2,1,1,3,2491,1,2113,1,715381
